Title,Date
"You: Season 3: And They Lived Happily Ever After","8/22/22"
"Never Have I Ever: Season 3: ...been slut-shamed","8/22/22"
"Breaking Bad: Season 3: Mas","8/22/22"
"Breaking Bad: Season 3: Green Light","8/22/22"
"Breaking Bad: Season 3: I.F.T.","8/22/22"
"Breaking Bad: Season 3: Caballo Sin Nombre","8/22/22"
"The Imitation Game","8/21/22"
"Breaking Bad: Season 3: No Más","8/20/22"
"Breaking Bad: Season 2: ABQ","8/20/22"
"Breaking Bad: Season 2: Phoenix","8/20/22"
"Breaking Bad: Season 2: Mandala","8/20/22"
"Breaking Bad: Season 2: Over","8/20/22"
"Breaking Bad: Season 2: 4 Days Out","8/18/22"
"Breaking Bad: Season 2: Better Call Saul","8/18/22"
"Miss Congeniality 2: Armed and Fabulous","8/14/22"
"Miss Congeniality","8/14/22"
"Crazy, Stupid, Love.","8/12/22"
"War Dogs","8/12/22"
"New Girl: Season 3: Big News","8/10/22"
"New Girl: Season 3: Mars Landing","8/10/22"
"Uncharted","8/9/22"
"3 Idiots","8/9/22"
"New Girl: Season 3: Fired Up","8/7/22"
"New Girl: Season 3: Sister III","8/7/22"
"Kung Fu Panda 2","8/7/22"
"Peaky Blinders: Season 6: Gold","8/7/22"
"Peaky Blinders: Season 6: Black Shirt","8/7/22"
"How to Get Away With Murder: Season 1: Pilot","8/6/22"
"Naruto: Season 1: Kakashi: Sharingan Warrior","8/3/22"
"Stranger Things: Stranger Things 4: Chapter Eight: Papa","8/3/22"
"Stranger Things: Chapter One: The Vanishing of Will Byers","8/1/22"
"Money Heist: Part 5: The End of the Road","7/31/22"
"Umma","7/27/22"
"GoodFellas","7/21/22"
"New Girl: Season 3: Sister II","7/21/22"
"New Girl: Season 3: Sister","7/19/22"
"New Girl: Season 3: Exes","7/19/22"
"New Girl: Season 3: Prince","7/19/22"
"New Girl: Season 3: Longest Night Ever","7/19/22"
"New Girl: Season 3: Birthday","7/18/22"
"New Girl: Season 3: Basketsball","7/18/22"
"New Girl: Season 3: Clavado En Un Bar","7/18/22"
"New Girl: Season 3: Thanksgiving III","7/18/22"
"Blade Runner 2049","7/17/22"
"How to Train Your Dragon 2","7/17/22"
"New Girl: Season 3: Menus","7/14/22"
"New Girl: Season 3: Coach","7/14/22"
"Hasan Minhaj: Homecoming King","7/10/22"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","7/5/22"
"Django Unchained","6/30/22"
"The Amazing Spider-Man","6/27/22"
"Quantum of Solace","6/24/22"
"Peaky Blinders: Season 6: Black Day","6/15/22"
"Casino Royale","6/14/22"
"Forgetting Sarah Marshall","6/5/22"
"BAKI: Season 1: Part 1: Synchronicity","6/3/22"
"Stranger Things: Stranger Things 4: Chapter Seven: The Massacre at Hawkins Lab","6/1/22"
"Stranger Things: Stranger Things 4: Chapter Six: The Dive","5/31/22"
"Cowboy Bebop: Asteroid Blues","5/31/22"
"6 Underground","5/31/22"
"Stranger Things: Stranger Things 4: Chapter Five: The Nina Project","5/30/22"
"Stranger Things: Stranger Things 4: Chapter Four: Dear Billy","5/30/22"
"Stranger Things: Stranger Things 4: Chapter Three: The Monster and the Superhero","5/30/22"
"Stranger Things: Stranger Things 4: Chapter Two: Vecna's Curse","5/30/22"
"Black Mirror: Bandersnatch","5/30/22"
"Stranger Things: Stranger Things 4: Chapter One: The Hellfire Club","5/27/22"
"Peaky Blinders: Season 1: Episode 2","5/23/22"
"Peaky Blinders: Season 1: Episode 1","5/23/22"
"Attack on Titan: Wall: Raid on Stohess District, Part 3","5/19/22"
"Attack on Titan: Mercy: Raid on Stohess District, Part 2","5/19/22"
"Attack on Titan: Smile: Raid on Stohess District, Part 1","5/19/22"
"Attack on Titan: The Defeated: 57th Expedition Beyond the Walls, Part 6","5/19/22"
"Attack on Titan: Crushing Blow: 57th Expedition Beyond the Walls, Part 5","5/19/22"
"Attack on Titan: Erwin Smith: 57th Expedition Beyond the Walls, Part 4","5/19/22"
"Attack on Titan: Bite: 57th Expedition Beyond the Walls, Part 3","5/19/22"
"Formula 1: Drive to Survive: Season 4: Staying Alive","5/16/22"
"Attack on Titan: Forest of Giant Trees: 57th Expedition Beyond the Walls, Part 2","5/16/22"
"Attack on Titan: Female Titan: 57th Expedition Beyond the Walls, Part 1","5/16/22"
"Attack on Titan: What Should be Done: Prelude to the Counterattack, Part 3","5/16/22"
"Attack on Titan: Special Operations Squad: Prelude to the Counterattack, Part 2","5/16/22"
"Attack on Titan: Still Can't See: Prelude to the Counterattack, Part 1","5/16/22"
"Attack on Titan: Primal Desires: Battle of Trost District, Part 9","5/16/22"
"Attack on Titan: Wound: Battle of Trost District, Part 8","5/16/22"
"Attack on Titan: Icon: Battle of Trost District, Part 7","5/16/22"
"Peaky Blinders: Season 5: Black Tuesday","5/16/22"
"Attack on Titan: Answer: Battle of Trost District, Part 6","5/15/22"
"Attack on Titan: Where the Left Arm Went: Battle of Trost District, Part 5","5/15/22"
"Attack on Titan: Hearing the Heartbeat: Battle of Trost District, Part 4","5/15/22"
"BoJack Horseman: Season 6: Nice While It Lasted","5/15/22"
"BoJack Horseman: Season 6: The Horny Unicorn","5/15/22"
"Attack on Titan: The Small Blade: Battle of Trost District, Part 3","5/15/22"
"Attack on Titan: The World She Saw: Battle of Trost District, Part 2","5/15/22"
"Attack on Titan: First Battle: Battle of Trost District, Part 1","5/14/22"
"Attack on Titan: Night of the Graduation Ceremony: Humanity Rises Again, Part 2","5/14/22"
"Attack on Titan: A Dim Light in the Darkness of Despair: Humanity Rises Again, Part 1","5/14/22"
